config_id,approach,step_dist,add_dist,confirm_dist,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,pnl_ticks_per_unit,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,would_flatten_reseed,half_block_profit
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,1,2025-09-22 09:30:47.916001,2025-09-22 09:32:17.575002,4795,1.49,3517,8311,LONG,0,1,60.0,56.0,60.0,15.0,-5.75,4.892857142857143,100.0,8.25,10.85,0.0,4.875,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,2,2025-09-22 09:32:17.575002,2025-09-22 09:35:56.162000,7819,3.64,8311,16129,SHORT,1,2,90.0,82.0,45.0,11.25,-7.5,5.625,81.25,8.25,13.0,0.0,5.5,False,86.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,3,2025-09-22 09:35:56.162000,2025-09-22 09:37:50.207000,3882,1.9,16129,20010,LONG,0,1,60.0,56.0,60.0,15.0,-4.5,4.1,12.5,7.75,15.8,1.0,3.75,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,4,2025-09-22 09:37:50.207000,2025-09-22 09:39:20.754000,2545,1.51,20010,22554,SHORT,0,1,60.0,56.0,60.0,15.0,-3.75,4.4375,48.10126582278481,8.75,19.025000000000002,1.0,3.875,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,5,2025-09-22 09:39:20.754000,2025-09-22 09:42:42.612005,6614,3.36,22554,29167,LONG,2,3,90.0,78.0,30.0,7.5,-11.25,4.5,55.0561797752809,9.75,18.550000000000004,1.0,4.75,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,7,2025-09-23 09:31:56.350000,2025-09-23 09:34:51.349008,6369,2.92,352997,359365,SHORT,3,4,60.0,44.0,15.0,3.75,-15.0,5.675,99.60000000000001,11.75,21.700000000000003,1.0,5.5,True,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,8,2025-09-23 09:34:51.349008,2025-09-23 09:38:54.032000,9348,4.04,359365,368712,LONG,3,4,60.0,44.0,15.0,3.75,-15.0,4.95,93.4,11.375,17.900000000000006,1.0,4.875,True,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,9,2025-09-23 09:38:54.032000,2025-09-23 09:40:34.120000,3155,1.67,368712,371866,SHORT,0,1,60.0,56.0,60.0,15.0,-4.75,4.775,89.80000000000001,11.375,17.000000000000007,1.0,4.625,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,10,2025-09-23 09:40:34.120000,2025-09-23 09:46:11.086009,11428,5.62,371866,383293,LONG,3,4,60.0,44.0,15.0,3.75,-17.0,4.4125,82.0,11.625,19.250000000000004,1.0,4.25,True,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,11,2025-09-23 09:46:11.086009,2025-09-23 09:49:53.173002,5414,3.7,383293,388706,SHORT,1,2,90.0,82.0,45.0,12.5,-7.5,6.1875,99.80000000000001,10.875,20.62500000000002,1.0,5.875,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,12,2025-09-23 09:49:53.173002,2025-09-23 09:51:34.505000,2987,1.69,388706,391692,LONG,1,2,90.0,82.0,45.0,11.25,-7.5,5.475,92.2,12.25,20.62500000000002,1.0,5.0,False,86.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,13,2025-09-23 09:51:34.505000,2025-09-23 09:54:06.767023,3611,2.54,391692,395302,SHORT,1,2,90.0,82.0,45.0,11.25,-7.5,5.175,86.7,12.25,20.62500000000002,1.0,5.0,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,14,2025-09-23 09:54:06.767023,2025-09-23 10:01:34.830000,12863,7.47,395302,408164,LONG,3,4,60.0,44.0,15.0,4.5,-15.25,4.925,81.60000000000001,12.25,17.875,1.0,4.75,True,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,15,2025-09-23 10:01:34.830000,2025-09-23 10:03:43.200000,3309,2.14,408164,411472,SHORT,0,1,60.0,56.0,60.0,15.0,-3.75,4.8375,73.60000000000001,13.625,16.525000000000006,1.0,4.5,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,16,2025-09-23 10:03:43.200000,2025-09-23 10:05:23.665001,2110,1.67,411472,413581,LONG,0,1,60.0,56.0,60.0,15.0,-2.5,5.05,80.0,13.25,16.525000000000006,1.0,4.625,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,17,2025-09-23 10:05:23.665001,2025-09-23 10:12:44.468008,10129,7.35,413581,423709,SHORT,1,2,90.0,82.0,45.0,11.25,-9.5,5.2875,87.0,13.25,16.525000000000006,1.0,5.125,False,86.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,18,2025-09-23 10:12:44.468008,2025-09-23 10:13:43.142000,1679,0.98,423709,425387,LONG,0,1,60.0,56.0,60.0,15.0,-3.0,4.8125,68.0,14.125,19.67500000000001,1.0,4.625,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,19,2025-09-23 10:13:43.142000,2025-09-23 10:22:37.989014,9894,8.91,425387,435280,SHORT,0,1,60.0,56.0,60.0,15.0,-6.25,4.9375,75.10000000000001,13.75,19.67500000000001,1.0,4.625,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,20,2025-09-23 10:22:37.989014,2025-09-23 10:26:10.285000,3801,3.54,435280,439080,LONG,1,2,90.0,82.0,45.0,11.25,-7.5,4.9,71.10000000000001,11.5,19.025,1.0,4.875,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,21,2025-09-23 10:26:10.285000,2025-09-23 10:43:53.841000,19154,17.73,439080,458233,SHORT,3,4,60.0,44.0,15.0,6.75,-15.5,4.675,48.6,11.5,19.025,1.0,4.625,True,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,22,2025-09-23 10:43:53.841000,2025-09-23 10:54:30.615026,10428,10.61,458233,468660,LONG,2,3,90.0,78.0,30.0,7.5,-11.25,3.95,14.200000000000001,10.0,19.075000000000003,1.0,3.875,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,23,2025-09-23 10:54:30.615026,2025-09-23 10:57:25.685001,2923,2.92,468660,471582,SHORT,1,2,90.0,82.0,45.0,11.25,-7.5,4.3625,23.5,11.875,20.275000000000006,1.0,4.125,False,86.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,24,2025-09-23 10:57:25.685001,2025-09-23 11:09:49.538048,12020,12.4,471582,483601,LONG,2,3,90.0,78.0,30.0,7.5,-11.25,4.1,11.0,12.0,20.275000000000006,1.0,3.75,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,25,2025-09-23 11:09:49.538048,2025-09-23 11:37:54.889004,21902,28.09,483601,505502,SHORT,2,3,90.0,78.0,30.0,7.5,-13.75,4.15,15.4,11.75,23.425000000000004,1.0,3.875,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,26,2025-09-23 11:37:54.889004,2025-09-23 11:44:18.525000,6954,6.39,505502,512455,LONG,2,3,90.0,78.0,30.0,7.5,-11.5,4.2,31.400000000000002,12.0,23.85000000000001,1.0,4.25,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,27,2025-09-23 11:44:18.525000,2025-09-23 11:57:09.124001,7787,12.84,512455,520241,SHORT,1,2,90.0,82.0,45.0,11.25,-9.0,3.875,14.5,12.0,23.775000000000006,1.0,3.875,False,86.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,28,2025-09-23 11:57:09.124001,2025-09-23 12:17:17.521005,15457,20.14,520241,535697,LONG,3,4,60.0,44.0,15.0,12.0,-15.0,4.4625,58.900000000000006,12.125,28.650000000000002,1.0,4.5,True,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,29,2025-09-23 12:17:17.521005,2025-09-23 12:26:09.873001,7701,8.87,535697,543397,SHORT,2,3,90.0,78.0,30.0,7.5,-13.5,4.1375,37.7,10.5,28.650000000000002,1.0,4.0,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,30,2025-09-23 12:26:09.873001,2025-09-23 12:35:13.279091,6678,9.06,543397,550074,LONG,2,3,88.0,76.0,29.3333,7.3333,-11.5,3.3625,5.4,10.75,28.650000000000002,1.0,3.25,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,31,2025-09-23 12:35:13.279091,2025-09-23 12:55:03.812000,15276,19.84,550074,565349,SHORT,2,3,90.0,78.0,30.0,14.25,-11.25,5.375,100.0,11.75,28.650000000000002,1.0,5.125,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,32,2025-09-23 12:55:03.812000,2025-09-23 12:57:57.872002,3677,2.9,565349,569025,LONG,2,3,89.0,77.0,29.6667,7.4167,-11.375,3.9625,37.2,10.875,20.65000000000001,1.0,3.75,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,33,2025-09-23 12:57:57.872002,2025-09-23 13:01:31.117000,3076,3.55,569025,572100,SHORT,0,1,60.0,56.0,60.0,15.0,-4.25,4.3375,70.5,10.875,20.65000000000001,1.0,3.875,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,34,2025-09-23 13:01:31.117000,2025-09-23 13:09:43.013000,7027,8.2,572100,579126,LONG,1,2,90.0,82.0,45.0,11.25,-7.5,4.25,64.10000000000001,12.375,20.65000000000001,1.0,4.0,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,35,2025-09-23 13:09:43.013000,2025-09-23 13:14:24.214009,3280,4.69,579126,582405,SHORT,0,1,60.0,56.0,60.0,15.0,-1.25,4.2875,67.9,12.375,19.55,1.0,4.0,False,29.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,36,2025-09-23 13:14:24.214009,2025-09-23 13:24:02.741012,9032,9.64,582405,591436,LONG,2,3,90.0,78.0,30.0,7.5,-11.25,4.575,85.2,14.0,19.55,1.0,4.5,False,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,37,2025-09-23 13:24:02.741012,2025-09-23 13:25:34.435031,2393,1.53,591436,593828,SHORT,0,1,60.0,56.0,60.0,15.0,-1.0,3.8625,30.6,8.375,16.800000000000008,1.0,3.5,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,39,2025-09-24 09:30:47.029000,2025-09-24 09:32:34.616009,6088,1.79,797186,803273,SHORT,0,1,60.0,56.0,60.0,15.0,-5.25,7.95,99.80000000000001,8.125,19.05000000000001,1.0,5.5,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,40,2025-09-24 09:32:34.616009,2025-09-24 09:35:12.206002,7704,2.63,803273,810976,LONG,3,4,60.0,44.0,15.0,5.25,-15.5,5.775,85.2,8.875,26.95000000000001,1.0,5.5,True,
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,41,2025-09-24 09:35:12.206002,2025-09-24 09:37:02.633000,4583,1.84,810976,815558,SHORT,1,2,90.0,82.0,45.0,11.25,-7.5,5.2875,71.2,8.875,33.675000000000004,1.0,5.5,False,28.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,42,2025-09-24 09:37:02.633000,2025-09-24 09:39:07.351000,5422,2.08,815558,820979,LONG,2,3,90.0,78.0,30.0,7.5,-11.25,5.85,92.60000000000001,8.375,33.675000000000004,1.0,5.75,False,
