config_id,approach,step_dist,add_dist,confirm_dist,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,pnl_ticks_per_unit,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,would_flatten_reseed,half_block_profit
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,1,2025-09-22 09:30:47.916001,2025-09-22 09:32:17.575002,4795,1.49,3517,8311,LONG,0,1,60.0,56.0,60.0,15.0,-5.75,4.892857142857143,100.0,8.25,10.85,0.0,4.875,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,2,2025-09-22 09:32:17.575002,2025-09-22 09:39:36.745000,15030,7.32,8311,23340,SHORT,0,1,60.0,56.0,60.0,15.0,-11.25,5.625,81.25,8.25,13.0,0.0,5.5,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,3,2025-09-22 09:39:36.745000,2025-09-22 09:43:06.840007,6789,3.5,23340,30128,LONG,0,1,60.0,56.0,60.0,15.0,-9.0,4.2625,28.804347826086953,9.75,18.550000000000004,1.0,4.5,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,4,2025-09-22 09:43:06.840007,2025-09-22 09:56:06.269152,17841,12.99,30128,47968,SHORT,2,3,0.0,-12.0,0.0,9.75,-22.5,4.3625,37.5,11.5,21.0,1.0,4.25,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,5,2025-09-22 09:56:06.269152,2025-09-22 09:59:16.831012,3479,3.18,47968,51446,LONG,0,1,60.0,56.0,60.0,15.0,-2.75,3.9,1.5706806282722514,10.125,16.950000000000006,1.0,3.875,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,6,2025-09-22 09:59:16.831012,2025-09-22 10:11:14.762002,13089,11.97,51446,64534,SHORT,0,1,60.0,56.0,60.0,15.0,-12.5,4.5125,46.09756097560975,9.625,15.600000000000001,1.0,4.625,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,7,2025-09-22 10:11:14.762002,2025-09-22 10:17:07.521005,6268,5.88,64534,70801,LONG,0,1,60.0,56.0,60.0,15.0,-5.5,4.1125,10.116731517509727,9.625,16.6,1.0,4.125,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,8,2025-09-22 10:17:07.521005,2025-09-22 10:31:48.620000,15429,14.68,70801,86229,SHORT,2,3,0.0,-12.0,0.0,7.0,-22.5,4.125,15.780141843971633,9.5,17.775000000000006,1.0,4.125,False,
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,9,2025-09-22 10:31:48.620000,2025-09-22 10:36:06.230002,3182,4.29,86229,89410,LONG,0,1,60.0,56.0,60.0,15.0,-0.5,3.2,2.616279069767442,9.625,21.400000000000002,1.0,3.125,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,10,2025-09-22 10:36:06.230002,2025-09-22 11:04:33.643000,25994,28.46,89410,115403,SHORT,2,3,0.0,-12.0,0.0,6.5,-22.5,3.975,20.448179271708685,9.625,21.400000000000002,1.0,3.875,False,
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,11,2025-09-22 11:04:33.643000,2025-09-22 11:27:01.940000,16025,22.47,115403,131427,LONG,1,2,60.0,52.0,30.0,7.5,-15.0,3.4875,15.61822125813449,11.875,22.3,1.0,3.25,False,
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,12,2025-09-22 11:27:01.940000,2025-09-22 11:34:44.385000,4964,7.71,131427,136390,SHORT,0,1,60.0,56.0,60.0,15.0,-5.5,3.675,31.400000000000002,12.625,22.275,1.0,3.5,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,13,2025-09-22 11:34:44.385000,2025-09-22 12:01:02.757005,16493,26.31,136390,152882,LONG,0,1,60.0,56.0,60.0,15.0,-8.25,3.5375,23.5,12.625,21.575000000000003,1.0,3.125,False,28.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,15,2025-09-23 09:31:56.350000,2025-09-23 09:35:25.478000,7832,3.49,352997,360828,SHORT,1,2,60.0,52.0,30.0,7.5,-16.25,5.675,99.60000000000001,11.75,21.700000000000003,1.0,5.5,False,
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,16,2025-09-23 09:35:25.478000,2025-09-23 09:38:54.032000,7885,3.48,360828,368712,LONG,1,2,60.0,52.0,30.0,7.5,-15.0,4.7375,92.0,11.375,17.900000000000006,1.0,4.75,False,
