config_id,approach,step_dist,add_dist,confirm_dist,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,pnl_ticks_per_unit,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,would_flatten_reseed,half_block_profit
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,1,2025-09-22 09:31:10.095000,2025-09-22 09:33:30.406000,6511,2.34,4894,11404,LONG,0,1,80.0,76.0,80.0,20.0,-4.0,4.9125,78.94736842105263,8.125,10.975,0.0,4.875,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,2,2025-09-22 09:33:30.406000,2025-09-22 09:36:21.078008,5704,2.84,11404,17107,SHORT,0,1,80.0,76.0,80.0,20.0,-0.5,4.6125,17.77777777777778,8.25,13.0,0.0,4.75,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,3,2025-09-22 09:36:21.078008,2025-09-22 09:37:56.879005,3266,1.6,17107,20372,LONG,0,1,80.0,76.0,80.0,20.0,-2.25,4.2125,23.529411764705884,7.75,15.8,1.0,4.0,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,4,2025-09-22 09:37:56.879005,2025-09-22 09:39:25.916000,2402,1.48,20372,22773,SHORT,0,1,80.0,76.0,80.0,20.0,-1.0,4.2625,32.098765432098766,9.75,18.550000000000004,1.0,3.75,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,5,2025-09-22 09:39:25.916000,2025-09-22 09:48:07.093000,13985,8.69,22773,36757,LONG,0,1,80.0,76.0,80.0,20.0,-14.25,4.4625,53.333333333333336,9.75,18.550000000000004,1.0,4.625,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,6,2025-09-22 09:48:07.093000,2025-09-22 10:13:13.348000,29977,25.1,36757,66733,SHORT,1,2,80.0,72.0,40.0,10.0,-22.25,5.125,84.93150684931507,10.125,21.0,1.0,4.75,False,
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,7,2025-09-22 10:13:13.348000,2025-09-22 10:17:07.535000,4074,3.9,66733,70806,LONG,0,1,80.0,76.0,80.0,20.0,-0.75,4.0125,6.7669172932330826,9.625,17.775000000000006,1.0,4.0,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,9,2025-09-23 09:35:34.091004,2025-09-23 09:41:12.274023,12360,5.64,361556,373915,SHORT,0,1,80.0,76.0,80.0,20.0,-9.75,4.475,89.4,11.375,17.900000000000006,1.0,4.5,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,10,2025-09-23 09:41:12.274023,2025-09-23 10:11:08.056023,47571,29.93,373915,421485,LONG,1,2,80.0,72.0,40.0,10.5,-21.5,4.1625,76.80000000000001,11.625,19.250000000000004,1.0,3.625,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,11,2025-09-23 10:11:08.056023,2025-09-23 10:12:44.468008,2225,1.61,421485,423709,SHORT,0,1,80.0,76.0,80.0,20.0,-0.75,4.7375,64.4,14.125,19.67500000000001,1.0,4.75,False,38.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,12,2025-09-23 10:12:44.468008,2025-09-23 10:20:08.659000,8484,7.4,423709,432192,LONG,0,1,80.0,76.0,80.0,20.0,-3.0,4.8125,68.0,14.125,19.67500000000001,1.0,4.625,False,39.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,13,2025-09-23 10:20:08.659000,2025-09-23 10:22:37.989014,3089,2.49,432192,435280,SHORT,0,1,80.0,76.0,80.0,20.0,-1.25,4.875,69.8,10.75,19.025,1.0,4.625,False,38.0
